sequence_number,score,value
899,41.29,01:20.20
900,41.21,01:20.21
901,41.14,01:20.22
902,41.07,01:20.23
903,41.00,01:20.24
904,40.93,01:20.25
905,40.86,01:20.26
906,40.79,01:20.27
907,40.71,01:20.28
908,40.64,01:20.29
909,40.57,01:20.30
910,40.50,01:20.31
911,40.43,01:20.32
912,40.36,01:20.33
913,40.29,01:20.34
914,40.21,01:20.35
915,40.14,01:20.36
916,40.07,01:20.37
917,40.00,01:20.38
918,39.92,01:20.39
919,39.85,01:20.40
920,39.77,01:20.41
921,39.70,01:20.42
922,39.62,01:20.43
923,39.55,01:20.44
924,39.47,01:20.45
925,39.39,01:20.46
926,39.32,01:20.47
927,39.24,01:20.48
928,39.17,01:20.49
929,39.09,01:20.50
930,39.02,01:20.51
931,38.94,01:20.52
932,38.86,01:20.53
933,38.79,01:20.54
934,38.71,01:20.55
935,38.64,01:20.56
936,38.56,01:20.57
937,38.48,01:20.58
938,38.41,01:20.59
939,38.33,01:20.60
940,38.26,01:20.61
941,38.18,01:20.62
942,38.11,01:20.63
943,38.03,01:20.64
944,37.95,01:20.65
945,37.88,01:20.66
946,37.80,01:20.67
947,37.73,01:20.68
948,37.65,01:20.69
949,37.58,01:20.70
950,37.50,01:20.71
951,37.42,01:20.72
952,37.34,01:20.73
953,37.26,01:20.74
954,37.18,01:20.75
955,37.10,01:20.76
956,37.02,01:20.77
957,36.94,01:20.78
958,36.85,01:20.79
959,36.77,01:20.80
960,36.69,01:20.81
961,36.61,01:20.82
962,36.53,01:20.83
963,36.45,01:20.84
964,36.37,01:20.85
965,36.29,01:20.86
966,36.21,01:20.87
967,36.13,01:20.88
968,36.05,01:20.89
969,35.97,01:20.90
970,35.89,01:20.91
971,35.81,01:20.92
972,35.73,01:20.93
973,35.65,01:20.94
974,35.56,01:20.95
975,35.48,01:20.96
976,35.40,01:20.97
977,35.32,01:20.98
978,35.24,01:20.99
979,35.16,01:21.00
980,35.08,01:21.01
981,35.00,01:21.02
982,34.91,01:21.03
983,34.82,01:21.04
984,34.73,01:21.05
985,34.64,01:21.06
986,34.55,01:21.07
987,34.46,01:21.08
988,34.37,01:21.09
989,34.29,01:21.10
990,34.20,01:21.11
991,50,34.11
992,50,64.26
993,50,92.40
