sequence_number,score,value
857,22.11,01:39.16
858,21.97,01:39.17
859,21.84,01:39.18
860,21.71,01:39.19
861,21.58,01:39.20
862,21.45,01:39.21
863,21.32,01:39.22
864,21.18,01:39.23
865,21.05,01:39.24
866,20.92,01:39.25
867,20.79,01:39.26
868,20.66,01:39.27
869,20.53,01:39.28
870,20.39,01:39.29
871,20.26,01:39.30
872,20.13,01:39.31
873,20.00,01:39.32
874,19.85,01:39.33
875,19.71,01:39.34
876,19.56,01:39.35
877,19.41,01:39.36
878,19.26,01:39.37
879,19.12,01:39.38
880,18.97,01:39.39
881,18.82,01:39.40
882,18.68,01:39.41
883,18.53,01:39.42
884,18.38,01:39.43
885,18.24,01:39.44
886,18.09,01:39.45
887,17.94,01:39.46
888,17.79,01:39.47
889,17.65,01:39.48
890,17.50,01:39.49
891,17.33,01:39.50
892,17.17,01:39.51
893,17.00,01:39.52
894,16.83,01:39.53
895,16.67,01:39.54
896,16.50,01:39.55
897,16.33,01:39.56
898,16.17,01:39.57
899,16.00,01:39.58
900,15.83,01:39.59
901,15.67,01:39.60
902,15.50,01:39.61
903,15.33,01:39.62
904,15.17,01:39.63
905,15.00,01:39.64
906,14.79,01:39.65
907,14.58,01:39.66
908,14.38,01:39.67
909,14.17,01:39.68
910,13.96,01:39.69
911,13.75,01:39.70
912,13.54,01:39.71
913,13.33,01:39.72
914,13.13,01:39.73
915,12.92,01:39.74
916,12.71,01:39.75
917,12.50,01:39.76
918,12.25,01:39.77
919,12.00,01:39.78
920,11.75,01:39.79
921,11.50,01:39.80
922,11.25,01:39.81
923,11.00,01:39.82
924,10.75,01:39.83
925,10.50,01:39.84
926,10.25,01:39.85
927,10.00,01:39.86
928,9.64,01:39.87
929,9.29,01:39.88
930,8.93,01:39.89
931,8.57,01:39.90
932,8.21,01:39.91
933,7.86,01:39.92
934,7.50,01:39.93
935,7.00,01:39.94
936,6.50,01:39.95
937,6.00,01:39.96
938,5.50,01:39.97
939,5.00,01:39.98
940,3.75,01:39.99
941,2.50,01:40.00
942,57,49.89
943,57,70.74
944,57,86.63
