sequence_number,score,value
792,91.39,05:12.91
793,91.38,05:12.92
794,91.37,05:12.93
795,91.36,05:12.94
796,91.35,05:12.95
797,91.34,05:12.96
798,91.33,05:12.97
799,91.32,05:12.98
800,91.31,05:12.99
801,91.30,05:13.00
802,91.29,05:13.01
803,91.28,05:13.02
804,91.27,05:13.03
805,91.26,05:13.04
806,91.25,05:13.05
807,91.24,05:13.06
808,91.23,05:13.07
809,91.22,05:13.08
810,91.21,05:13.09
811,91.20,05:13.10
812,91.19,05:13.11
813,91.18,05:13.12
814,91.17,05:13.13
815,91.16,05:13.14
816,91.15,05:13.15
817,91.14,05:13.16
818,91.13,05:13.17
819,91.12,05:13.18
820,91.11,05:13.19
821,91.10,05:13.20
822,91.09,05:13.21
823,91.08,05:13.22
824,91.07,05:13.23
825,91.06,05:13.24
826,91.05,05:13.25
827,91.04,05:13.26
828,91.03,05:13.27
829,91.02,05:13.28
830,91.01,05:13.29
831,91.00,05:13.30
832,90.99,05:13.31
833,90.98,05:13.32
834,90.97,05:13.33
835,90.96,05:13.34
836,90.95,05:13.35
837,90.94,05:13.36
838,90.93,05:13.37
839,90.92,05:13.38
840,90.91,05:13.39
841,90.90,05:13.40
842,90.89,05:13.41
843,90.88,05:13.42
844,90.87,05:13.43
845,90.86,05:13.44
846,90.85,05:13.45
847,90.84,05:13.46
848,90.83,05:13.47
849,90.82,05:13.48
850,90.81,05:13.49
851,90.80,05:13.50
852,90.79,05:13.51
853,90.78,05:13.52
854,90.77,05:13.53
855,90.76,05:13.54
856,90.75,05:13.55
857,90.74,05:13.56
858,90.73,05:13.57
859,90.72,05:13.58
860,90.71,05:13.59
861,90.70,05:13.60
862,90.69,05:13.61
863,90.68,05:13.62
864,90.67,05:13.63
865,90.66,05:13.64
866,90.65,05:13.65
867,90.64,05:13.66
868,90.63,05:13.67
869,90.62,05:13.68
870,90.61,05:13.69
871,90.60,05:13.70
872,90.59,05:13.71
873,90.58,05:13.72
874,90.57,05:13.73
875,90.56,05:13.74
876,90.55,05:13.75
877,90.54,05:13.76
878,90.53,05:13.77
879,90.52,05:13.78
880,90.51,05:13.79
881,90.50,05:13.80
882,90.49,05:13.81
883,90.48,05:13.82
884,90.47,05:13.83
885,90.46,05:13.84
886,90.45,05:13.85
887,90.44,05:13.86
888,90.43,05:13.87
889,90.42,05:13.88
890,90.41,05:13.89
891,90.40,05:13.90
892,90.39,05:13.91
893,90.38,05:13.92
894,90.37,05:13.93
895,90.36,05:13.94
896,90.35,05:13.95
897,90.34,05:13.96
898,90.33,05:13.97
899,90.32,05:13.98
900,90.31,05:13.99
901,90.30,05:14.00
902,90.29,05:14.01
903,90.28,05:14.02
904,90.27,05:14.03
905,90.26,05:14.04
906,90.25,05:14.05
907,90.24,05:14.06
908,90.23,05:14.07
909,90.22,05:14.08
910,90.21,05:14.09
911,90.20,05:14.10
912,90.19,05:14.11
