sequence_number,score,value
732,69.35,01:21.44
733,98.82,01:21.45
734,69.31,01:21.45
735,98.79,01:21.46
736,69.27,01:21.46
737,98.76,01:21.47
738,69.23,01:21.47
739,98.74,01:21.48
740,69.19,01:21.48
741,98.71,01:21.49
742,69.15,01:21.49
743,98.68,01:21.50
744,69.11,01:21.50
745,98.66,01:21.51
746,69.07,01:21.51
747,98.63,01:21.52
748,69.03,01:21.52
749,98.61,01:21.53
750,68.99,01:21.53
751,98.58,01:21.54
752,68.95,01:21.54
753,98.55,01:21.55
754,68.91,01:21.55
755,98.53,01:21.56
756,68.87,01:21.56
757,98.50,01:21.57
758,68.83,01:21.57
759,98.47,01:21.58
760,68.79,01:21.58
761,98.45,01:21.59
762,68.75,01:21.59
763,98.42,01:21.60
764,68.71,01:21.60
765,98.39,01:21.61
766,68.67,01:21.61
767,98.37,01:21.62
768,68.63,01:21.62
769,98.34,01:21.63
770,68.59,01:21.63
771,98.32,01:21.64
772,68.55,01:21.64
773,98.29,01:21.65
774,68.51,01:21.65
775,98.26,01:21.66
776,68.47,01:21.66
777,98.24,01:21.67
778,68.43,01:21.67
779,98.21,01:21.68
780,68.39,01:21.68
781,98.18,01:21.69
782,68.35,01:21.69
783,98.16,01:21.70
784,68.31,01:21.70
785,98.13,01:21.71
786,68.27,01:21.71
787,98.11,01:21.72
788,68.23,01:21.72
789,98.08,01:21.73
790,68.19,01:21.73
791,98.05,01:21.74
792,68.15,01:21.74
793,98.03,01:21.75
794,68.10,01:21.75
795,98.00,01:21.76
796,68.06,01:21.76
797,97.97,01:21.77
798,68.02,01:21.77
799,97.95,01:21.78
800,67.98,01:21.78
801,97.92,01:21.79
802,67.94,01:21.79
803,97.89,01:21.80
804,67.90,01:21.80
805,97.87,01:21.81
806,67.86,01:21.81
807,97.84,01:21.82
808,67.82,01:21.82
809,97.82,01:21.83
810,67.78,01:21.83
811,97.79,01:21.84
812,67.74,01:21.84
813,97.76,01:21.85
814,67.70,01:21.85
815,97.74,01:21.86
816,67.66,01:21.86
817,97.71,01:21.87
818,67.62,01:21.87
819,97.68,01:21.88
820,67.58,01:21.88
821,97.66,01:21.89
822,67.54,01:21.89
823,97.63,01:21.90
824,67.50,01:21.90
825,97.61,01:21.91
826,67.46,01:21.91
827,97.58,01:21.92
828,67.42,01:21.92
829,97.55,01:21.93
830,67.37,01:21.93
831,97.53,01:21.94
832,67.33,01:21.94
833,97.50,01:21.95
834,67.29,01:21.95
835,97.48,01:21.96
836,67.25,01:21.96
837,97.45,01:21.97
838,67.21,01:21.97
839,97.43,01:21.98
840,67.17,01:21.98
841,97.40,01:21.99
842,67.12,01:21.99
843,97.38,01:22.00
844,67.08,01:22.00
845,97.35,01:22.01
846,67.04,01:22.01
847,97.33,01:22.02
848,67.00,01:22.02
849,97.31,01:22.03
850,66.96,01:22.03
851,97.28,01:22.04
852,66.92,01:22.04
853,97.26,01:22.05
854,66.87,01:22.05
855,97.23,01:22.06
856,66.83,01:22.06
857,97.21,01:22.07
858,66.79,01:22.07
859,97.18,01:22.08
860,66.75,01:22.08
861,97.16,01:22.09
862,66.71,01:22.09
863,97.14,01:22.10
864,66.67,01:22.10
865,97.11,01:22.11
866,66.62,01:22.11
867,97.09,01:22.12
868,66.58,01:22.12
869,97.06,01:22.13
870,66.54,01:22.13
871,97.04,01:22.14
872,66.50,01:22.14
873,97.01,01:22.15
874,66.46,01:22.15
875,96.99,01:22.16
876,66.42,01:22.16
877,96.97,01:22.17
878,66.37,01:22.17
879,96.94,01:22.18
880,66.33,01:22.18
881,96.92,01:22.19
882,66.29,01:22.19
883,96.89,01:22.20
884,66.25,01:22.20
885,96.87,01:22.21
886,66.21,01:22.21
887,96.84,01:22.22
888,66.17,01:22.22
889,96.82,01:22.23
890,66.12,01:22.23
891,96.80,01:22.24
892,66.08,01:22.24
893,96.77,01:22.25
894,66.04,01:22.25
895,96.75,01:22.26
896,66.00,01:22.26
897,96.72,01:22.27
898,65.96,01:22.27
899,96.70,01:22.28
900,65.92,01:22.28
901,96.67,01:22.29
902,65.87,01:22.29
903,96.65,01:22.30
904,65.83,01:22.30
905,96.63,01:22.31
906,65.79,01:22.31
907,96.60,01:22.32
908,96.58,01:22.33
909,96.55,01:22.34
910,96.53,01:22.35
911,96.50,01:22.36
912,96.48,01:22.37
913,96.46,01:22.38
914,96.43,01:22.39
915,96.41,01:22.40
916,96.38,01:22.41
917,96.36,01:22.42
918,96.33,01:22.43
919,96.31,01:22.44
920,96.29,01:22.45
921,96.26,01:22.46
922,96.24,01:22.47
923,96.21,01:22.48
924,96.19,01:22.49
925,96.17,01:22.50
926,96.14,01:22.51
927,96.12,01:22.52
928,96.09,01:22.53
929,96.07,01:22.54
930,96.04,01:22.55
931,96.02,01:22.56
932,96.00,01:22.57
933,95.97,01:22.58
934,95.95,01:22.59
935,95.92,01:22.60
936,95.90,01:22.61
937,95.87,01:22.62
938,95.85,01:22.63
939,95.83,01:22.64
940,95.80,01:22.65
941,95.78,01:22.66
942,95.75,01:22.67
943,95.73,01:22.68
944,95.70,01:22.69
945,95.68,01:22.70
946,95.66,01:22.71
947,95.63,01:22.72
948,95.61,01:22.73
949,95.58,01:22.74
950,95.56,01:22.75
951,95.53,01:22.76
952,95.51,01:22.77
953,95.49,01:22.78
954,95.46,01:22.79
955,95.44,01:22.80
956,95.41,01:22.81
957,95.39,01:22.82
958,95.36,01:22.83
959,95.34,01:22.84
960,95.32,01:22.85
961,95.29,01:22.86
962,95.27,01:22.87
963,95.24,01:22.88
964,95.22,01:22.89
965,95.19,01:22.90
966,95.17,01:22.91
967,95.15,01:22.92
968,95.12,01:22.93
969,95.10,01:22.94
970,95.07,01:22.95
971,95.05,01:22.96
972,95.02,01:22.97
973,95.00,01:22.98
974,94.97,01:22.99
975,94.94,01:23.00
976,94.91,01:23.01
977,94.88,01:23.02
978,94.84,01:23.03
979,94.81,01:23.04
980,94.78,01:23.05
981,94.75,01:23.06
982,94.72,01:23.07
983,94.69,01:23.08
984,94.66,01:23.09
985,94.63,01:23.10
986,94.59,01:23.11
987,94.56,01:23.12
988,94.53,01:23.13
989,94.50,01:23.14
990,94.47,01:23.15
991,94.44,01:23.16
992,94.41,01:23.17
993,94.38,01:23.18
994,94.34,01:23.19
995,94.31,01:23.20
996,94.28,01:23.21
997,94.25,01:23.22
998,94.22,01:23.23
999,94.19,01:23.24
1000,94.16,01:23.25
1001,94.13,01:23.26
1002,94.09,01:23.27
1003,94.06,01:23.28
1004,94.03,01:23.29
1005,94.00,01:23.30
1006,93.97,01:23.31
1007,93.94,01:23.32
1008,93.91,01:23.33
1009,93.88,01:23.34
1010,93.84,01:23.35
1011,93.81,01:23.36
1012,93.78,01:23.37
1013,93.75,01:23.38
1014,93.72,01:23.39
1015,53.80,01:24.90
1016,53.75,01:24.91
1017,53.70,01:24.92
1018,53.65,01:24.93
1019,53.59,01:24.94
1020,53.54,01:24.95
1021,53.49,01:24.96
1022,53.44,01:24.97
1023,53.39,01:24.98
1024,53.33,01:24.99
